order_id,user_id,amount,ts
100001,3114,375.71,2024-01-01T00:01:00Z
100002,6933,486.77,2024-01-01T00:02:00Z
100003,5581,331.36,2024-01-01T00:03:00Z
100004,574,426.49,2024-01-01T00:04:00Z
100005,7455,265.98,2024-01-01T00:05:00Z
100006,4785,433.42,2024-01-01T00:06:00Z
100007,1289,148.36,2024-01-01T00:07:00Z
100008,8407,333.7,2024-01-01T00:08:00Z
100009,9049,83.88,2024-01-01T00:09:00Z
100010,2813,334.1,2024-01-01T00:10:00Z
100011,556,227.91,2024-01-01T00:11:00Z
100012,7936,447.64,2024-01-01T00:12:00Z
100013,3018,66.51,2024-01-01T00:13:00Z
100014,4391,114.73,2024-01-01T00:14:00Z
100015,4878,265.05,2024-01-01T00:15:00Z
100016,4704,245.22,2024-01-01T00:16:00Z
100017,656,347.45,2024-01-01T00:17:00Z
100018,5603,218.7,2024-01-01T00:18:00Z
100019,9126,299.45,2024-01-01T00:19:00Z
100020,484,81.98,2024-01-01T00:20:00Z
100021,9847,480.17,2024-01-01T00:21:00Z
100022,991,82.86,2024-01-01T00:22:00Z
100023,8876,200.61,2024-01-01T00:23:00Z
100024,3105,307.44,2024-01-01T00:24:00Z
100025,3413,121.5,2024-01-01T00:25:00Z
100026,7795,202.21,2024-01-01T00:26:00Z
100027,7325,181.78,2024-01-01T00:27:00Z
100028,5991,35.36,2024-01-01T00:28:00Z
100029,1905,206.21,2024-01-01T00:29:00Z
100030,9916,180.83,2024-01-01T00:30:00Z
100031,2359,71.6,2024-01-01T00:31:00Z
100032,3871,52.75,2024-01-01T00:32:00Z
100033,1793,25.95,2024-01-01T00:33:00Z
100034,9268,378.19,2024-01-01T00:34:00Z
100035,6863,40.83,2024-01-01T00:35:00Z
100036,420,56.43,2024-01-01T00:36:00Z
100037,5401,165.52,2024-01-01T00:37:00Z
100038,6449,254.13,2024-01-01T00:38:00Z
100039,9787,487.59,2024-01-01T00:39:00Z
100040,4472,262.56,2024-01-01T00:40:00Z
100041,5862,441.82,2024-01-01T00:41:00Z
100042,9729,163.55,2024-01-01T00:42:00Z
100043,6809,459.32,2024-01-01T00:43:00Z
100044,3304,290.67,2024-01-01T00:44:00Z
100045,9159,100.76,2024-01-01T00:45:00Z
